é¸îgêî,óòìæ
0,0.034694
46.875,0.030616
93.75,0.019686
140.625,0.014715
187.5,0.019425
234.375,0.021512
281.25,0.024548
328.125,0.019179
375,0.028073
421.875,0.047347
468.75,0.070366
515.625,0.132404
562.5,0.072273
609.375,0.028358
656.25,0.019218
703.125,0.013058
750,0.01058
796.875,0.007961
843.75,0.008636
890.625,0.006832
937.5,0.008081
984.375,0.007082
1031.25,0.00526
1078.125,0.004873
1125,0.003868
1171.875,0.003732
1218.75,0.003672
1265.625,0.003686
1312.5,0.003334
1359.375,0.003192
1406.25,0.003274
1453.125,0.003123
1500,0.002891
1546.875,0.001906
1593.75,0.002633
1640.625,0.002682
1687.5,0.002234
1734.375,0.001847
1781.25,0.002052
1828.125,0.001911
1875,0.002348
1921.875,0.002105
1968.75,0.002167
2015.625,0.001957
2062.5,0.001649
2109.375,0.001794
2156.25,0.001987
2203.125,0.001775
2250,0.00185
2296.875,0.001539
2343.75,0.001475
2390.625,0.001414
2437.5,0.001147
2484.375,0.001386
2531.25,0.001491
2578.125,0.001084
2625,0.001194
2671.875,0.001267
2718.75,0.001203
2765.625,0.001248
2812.5,0.001116
2859.375,0.001029
2906.25,0.00126
2953.125,0.001076
3000,0.001157
3046.875,0.001242
3093.75,0.000956
3140.625,0.000797
3187.5,0.000748
3234.375,0.000928
3281.25,0.000977
3328.125,0.001027
3375,0.001292
3421.875,0.001133
3468.75,0.00114
3515.625,0.000883
3562.5,0.000981
3609.375,0.001155
3656.25,0.00112
3703.125,0.000873
3750,0.000914
3796.875,0.001102
3843.75,0.00099
3890.625,0.000983
3937.5,0.00126
3984.375,0.00109
4031.25,0.00097
4078.125,0.000814
4125,0.000652
4171.875,0.000798
4218.75,0.00107
4265.625,0.001128
4312.5,0.000877
4359.375,0.000771
4406.25,0.000714
4453.125,0.00079
4500,0.001034
4546.875,0.0009
4593.75,0.000892
4640.625,0.000739
4687.5,0.000735
4734.375,0.000754
4781.25,0.000762
4828.125,0.000949
4875,0.000863
4921.875,0.00084
4968.75,0.000832
5015.625,0.000756
5062.5,0.000924
5109.375,0.000652
5156.25,0.000612
5203.125,0.000838
5250,0.00085
5296.875,0.000535
5343.75,0.000641
5390.625,0.000808
5437.5,0.000488
5484.375,0.000807
5531.25,0.001131
5578.125,0.001157
5625,0.000959
5671.875,0.00087
5718.75,0.000701
5765.625,0.000648
5812.5,0.00066
5859.375,0.000696
5906.25,0.00084
5953.125,0.000623
