周波数 [Hz]	入力電圧実効値 [V]	入力電圧P-P [V]	出力電圧実効値 [V]	出力電圧P-P [V]	帰還率β	位相差 argβ [°]
100	1.756	5.08	0.0524	0.16	0.030	86
139	1.793	5.12	0.0716	0.218	0.040	83
192	1.729	5.120	0.101	0.296	0.058	80
267	1.760	5.120	0.138	0.402	0.078	75
370	1.820	5.120	0.181	0.540	0.099	70
513	1.775	5.08	0.2473	0.718	0.139	63
712	1.780	5.08	0.3184	0.928	0.179	54
987	1.770	5.10	0.4098	1.16	0.232	45
1369	1.767	5.130	0.479	1.39	0.271	32
1899	1.816	5.130	0.557	1.55	0.307	19
2633	1.830	5.17	0.588	1.63	0.321	8
3652	1.734	5.15	0.559	1.653	0.322	-4.5
5065	1.786	5.15	0.553	1.59	0.310	-16
7025	1.770	5.130	0.4965	1.44	0.281	-29
9743	1.785	5.130	0.4404	1.24	0.247	-40
13513	1.777	5.10	0.353	1.01	0.199	-51
18742	1.760	5.08	0.2793	0.800	0.159	-59
25994	1.751	5.08	0.211	0.648	0.121	-66
36051	1.813	5.05	0.1504	0.450	0.083	-71
50000	1.764	5.08	0.112	0.338	0.063	-74
3000	1.868	5.179	0.6035	1.650	0.323	2
3100	1.854	5.15	0.599	1.650	0.323	2
3200	1.832	5.15	0.592	1.650	0.323	1
3300	1.807	5.17	0.583	1.65	0.323	0
3400	1.770	5.17	0.574	1.65	0.324	-1
3500	1.756	5.17	0.567	1.64	0.323	-2
3344	1.795	5.18	0.579	1.65	0.323	-0.5
