種別	製造元	型番	シリアル番号
単相変圧器	MATSUSHITA COMMUNICATION INDUSTRIAL CO.,LTD.	VQ-7155	508078
三相変圧器	YAMABISHI ELECCTRIC CO.,LTD.	SLIDER S3P-240-15	S-24-5B
滑り抵抗器	株式会社 横河電機製作所	SS-3	K2033M84
電流計 A.C.	YOKOGAWA ELECTRIC WORKS, LTD.	1965	52A555
電流計 D.C.	YOKOGAWA ELECTRIC WORKS, LTD.	1965	M515B113
電圧計 A.C.	YOKOGAWA ELECTRIC WORKS, LTD.	E21	8C0148
電圧計 平均	FUJIDENKI	TM	1113518T
電圧計 実効値	FUJIDENKI	TS	9X01487
オシロスコープ	Tektonix	TDS1012B	C030189
電流プローブ	HIOKI	9694	070215861
電圧プローブ	Tektonix	P2220	57843710
ダイオード	東芝	6FC13	N/A
ダイオード	日立	S02E	N/A
コンデンサ	NIPPON CHEMI-CON	25V 1000uF	08A 808
