信号波の周波数 [Hz]	出力電圧 [mV]
10.00	671.00
11.00	687.00
12.00	703.00
13.00	718.00
14.00	718.00
15.00	718.00
16.00	734.00
17.00	734.00
18.00	734.00
19.00	750.00
20.00	750.00
30.00	750.00
40.00	750.00
50.00	734.00
60.00	718.00
70.00	703.00
80.00	671.00
90.00	656.00
100.00	625.00
110.00	609.00
120.00	578.00
130.00	562.00
140.00	546.00
150.00	531.00
160.00	515.00
170.00	500.00
180.00	484.00
190.00	468.00
200.00	453.00
210.00	437.00
220.00	421.00
230.00	406.00
240.00	390.00
250.00	390.00
260.00	375.00
270.00	359.00
280.00	359.00
290.00	343.00
300.00	343.00
310.00	328.00
320.00	312.00
330.00	312.00
340.00	296.00
350.00	296.00
360.00	281.00
370.00	281.00
380.00	265.00
390.00	265.00
400.00	250.00
450.00	218.00
500.00	203.00
550.00	171.00
600.00	156.00
700.00	125.00
800.00	109.00
900.00	93.00
1000.00	78.00
