信号波の周波数 f_FM [kHz]	出力電圧 V_out [V]
12.00	-0.06
12.40	-0.13
12.60	-0.16
12.80	-0.19
13.00	-0.25
13.20	-0.28
13.40	-0.38
13.60	-0.44
13.80	-0.53
14.00	-0.66
14.20	-0.84
14.40	-1.00
14.60	-1.12
14.80	-1.18
15.00	-1.12
15.20	-1.00
15.40	-0.75
15.60	-0.50
15.80	-0.25
16.00	0.03
16.20	0.31
16.40	0.59
16.60	0.84
16.80	1.06
17.00	1.15
17.20	1.12
17.40	1.03
17.60	0.94
17.80	0.78
18.00	0.67
18.20	0.56
18.40	0.50
18.60	0.41
18.80	0.34
19.00	0.31
19.20	0.28
19.40	0.25
19.60	0.22
19.80	0.19
20.00	0.15
20.20	0.16
20.40	0.16
20.60	0.13
20.80	0.13
21.00	0.13
