Direction,Field Current I_F [A],Terminal Voltage V_0L [V]
Increasing,0.64,111.5
Increasing,0.7,116.5
Increasing,0.8,132.0
Increasing,0.9,142.5
Increasing,1.0,156.0
Increasing,1.1,166.5
Increasing,1.185,176.5
Increasing,1.3,186.0
Increasing,1.4,193.5
Increasing,1.5,200.5
Increasing,1.6,206.5
Increasing,1.7,211.5
Increasing,1.8,216.0
Increasing,1.875,220.5
Increasing,2.0,225.0
Increasing,2.1,229.0
Increasing,2.215,232.5
Increasing,2.4,238.0
Increasing,2.515,241.5
Increasing,2.595,244.0
Increasing,2.7,247.0
Increasing,2.86,250.0
Decreasing,2.8,249.0
Decreasing,2.68,246.0
Decreasing,2.58,244.5
Decreasing,2.5,243.0
Decreasing,2.38,240.0
Decreasing,2.3,236.5
Decreasing,2.2,235.0
Decreasing,2.09,229.5
Decreasing,2.0,227.5
Decreasing,1.91,223.5
Decreasing,1.8,219.0
Decreasing,1.715,216.0
Decreasing,1.6,210.0
Decreasing,1.5,205.5
Decreasing,1.4,198.5
Decreasing,1.29,192.0
Decreasing,1.19,183.0
Decreasing,1.1,175.5
Decreasing,1.0,164.0
Decreasing,0.9,151.5
Decreasing,0.8,137.0
Decreasing,0.7,122.5
Decreasing,0.63,114.0
