Field Current I_F [A],Short Circuit Current I_L1 [A],Short Circuit Current I_L2 [A],Short Circuit Current I_L3 [A],Average Short Circuit Current I_s [A]
0.15,1.8,1.8,1.85,1.8166666666666667
0.165,2.0,1.95,1.95,1.9666666666666668
0.21,2.5,2.45,2.45,2.466666666666667
0.285,3.0,2.95,3.0,2.983333333333333
0.33,3.5,3.4,3.45,3.4500000000000006
0.39,4.0,3.9,3.9,3.9333333333333336
0.45,4.5,4.4,4.4,4.433333333333334
0.51,5.0,4.9,4.95,4.95
0.57,5.5,5.45,5.5,5.483333333333333
0.615,6.0,5.9,5.95,5.95
0.69,6.5,6.4,6.45,6.45
0.75,7.0,6.9,6.9,6.933333333333334
0.785,7.25,7.05,7.1,7.133333333333333
